ts_code,name,classify,list_date,delist_date
AFCSF,,EQT,20131209,
AFDVF,,EQT,20110107,
AFFL,,EQT,19990204,
AFFN,,EQT,20011119,
AFFU,,EQT,20061214,
AFFY,,EQT,20061214,
AFG,,EQT,19781114,
AFGVF,,EQT,20140113,
AFGVY,,ADR,20110719,
AFH,,EQT,20130212,
AFHFF,,EQT,20190508,
AFI,,EQT,20160317,
AFIDY,,GDR,20141201,
AFIMF,,EQT,20140113,
AFIN,,EQT,20180719,
AFINP,,EQT,20190325,
AFIPA,,EQT,19721214,
AFL,,EQT,19730823,
AFLQF,,EQT,20170726,
AFLYY,,ADR,20040505,
AFMCF,,EQT,20140113,
AFMD,,EQT,20140912,
AFMJF,,EQT,20140113,
AFML,,EQT,19980210,
AFNL,,EQT,19950713,
AFOM,,EQT,20101012,
AFPW,,EQT,20120724,
AFRAF,,EQT,20140113,
AFRMF,,EQT,20140207,
AFRVF,,EQT,19970821,
AFTC,,EQT,20020516,
AFTM,,EQT,20120809,
AFTPF,,EQT,20180604,
AFTPY,,ADR,20200430,
AFXXF,,EQT,20190207,
AFYA,Afya,EQT,20190719,
AFYG,,EQT,20100604,
AG,,EQT,20101215,
AGBA,,EQT,20190731,
AGBAU,,EQT,20190514,
AGCBF,,EQT,19600101,
AGCCF,,EQT,19600101,
AGCO,,EQT,19920416,
AGCZ,,EQT,19960214,
AGDXF,,EQT,19600101,
AGDY,,EQT,19930915,
AGE,,EQT,20181129,
AGEEF,,EQT,20061228,
AGEN,,EQT,20000204,
AGESF,,EQT,20140113,
AGESY,,ADR,20010109,
AGFAF,,EQT,20150714,
AGFMF,,EQT,20140113,
AGFS,,EQT,20140424,
AGFSW,,EQT,20150803,
AGGFF,,EQT,19600101,
AGGG,,EQT,20180212,
AGGHF,,EQT,20190221,
AGGI,,EQT,19981014,
AGGKY,,ADR,20190417,
AGGL,,EQT,20070129,
AGGX,,EQT,20030905,
AGGZF,,EQT,19600101,
AGHC,,EQT,19920513,
AGHI,,EQT,19980505,
