code,code_name,ipoDate
sh.600456,宝钛股份,2002-04-12
sh.600458,时代新材,2002-12-19
sh.600459,贵研铂业,2003-05-16
sh.600460,士兰微,2003-03-11
sh.600461,洪城环境,2004-06-01
sh.600463,空港股份,2004-03-18
sh.600466,蓝光发展,2001-02-12
sh.600467,好当家,2004-04-05
sh.600468,百利电气,2001-06-15
sh.600469,风神股份,2003-10-21
sh.600470,六国化工,2004-03-05
sh.600475,华光环能,2003-07-21
sh.600476,湘邮科技,2003-12-10
sh.600477,杭萧钢构,2003-11-10
sh.600478,科力远,2003-09-18
sh.600479,千金药业,2004-03-12
sh.600480,凌云股份,2003-08-15
sh.600481,双良节能,2003-04-22
sh.600482,中国动力,2004-07-14
sh.600483,福能股份,2004-05-31
sh.600486,扬农化工,2002-04-25
sh.600487,亨通光电,2003-08-22
sh.600488,天药股份,2001-06-18
sh.600489,中金黄金,2003-08-14
sh.600490,鹏欣资源,2003-06-26
sh.600491,龙元建设,2004-05-24
sh.600493,凤竹纺织,2004-04-21
sh.600495,晋西车轴,2004-05-26
sh.600496,精工钢构,2002-06-05
sh.600497,驰宏锌锗,2004-04-20
sh.600498,烽火通信,2001-08-23
sh.600499,科达制造,2002-10-10
sh.600500,中化国际,2000-03-01
sh.600501,航天晨光,2001-06-15
sh.600502,安徽建工,2003-04-15
sh.600503,华丽家族,2002-07-09
sh.600505,西昌电力,2002-05-30
sh.600507,方大特钢,2003-09-30
sh.600508,上海能源,2001-08-29
sh.600509,天富能源,2002-02-28
sh.600510,黑牡丹,2002-06-18
sh.600511,国药股份,2002-11-27
sh.600512,腾达建设,2002-12-26
sh.600513,联环药业,2003-03-19
sh.600516,方大炭素,2002-08-30
sh.600517,国网英大,2003-10-10
sh.600519,贵州茅台,2001-08-27
sh.600520,文一科技,2002-01-08
sh.600521,华海药业,2003-03-04
sh.600522,中天科技,2002-10-24
sh.600523,贵航股份,2001-12-27
sh.600525,长园集团,2002-12-02
sh.600526,菲达环保,2002-07-22
sh.600527,江南高纤,2003-11-27
sh.600528,中铁工业,2001-05-28
sh.600529,山东药玻,2002-06-03
sh.600530,交大昂立,2001-07-02
sh.600531,豫光金铅,2002-07-30
sh.600532,未来股份,2002-10-31
sh.600533,栖霞建设,2002-03-28
sh.600535,天士力,2002-08-23
sh.600536,中国软件,2002-05-17
sh.600537,亿晶光电,2003-01-23
sh.600538,国发股份,2003-01-14
sh.600539,狮头股份,2001-08-24
sh.600540,新赛股份,2004-01-07
sh.600543,莫高股份,2004-03-24
sh.600545,卓郎智能,2003-12-03
sh.600546,山煤国际,2003-07-31
sh.600547,山东黄金,2003-08-28
sh.600548,深高速,2001-12-25
sh.600549,厦门钨业,2002-11-07
sh.600550,保变电气,2001-02-28
sh.600551,时代出版,2002-09-05
sh.600552,凯盛科技,2002-11-08
sh.600556,天下秀,2001-08-07
sh.600557,康缘药业,2002-09-18
sh.600558,大西洋,2001-02-27
sh.600559,老白干酒,2002-10-29
sh.600560,金自天正,2002-09-19
sh.600561,江西长运,2002-07-16
sh.600562,国睿科技,2003-01-28
sh.600563,法拉电子,2002-12-10
sh.600565,迪马股份,2002-07-23
sh.600566,济川药业,2001-08-22
sh.600567,山鹰国际,2001-12-18
sh.600569,安阳钢铁,2001-08-20
sh.600570,恒生电子,2003-12-16
sh.600571,信雅达,2002-11-01
sh.600572,康恩贝,2004-04-12
sh.600573,惠泉啤酒,2003-02-26
sh.600575,淮河能源,2003-03-28
sh.600576,祥源文化,2003-02-20
sh.600577,精达股份,2002-09-11
sh.600578,京能电力,2002-05-10
sh.600579,克劳斯,2002-08-09
sh.600580,卧龙电驱,2002-06-06
sh.600581,八一钢铁,2002-08-16
sh.600582,天地科技,2002-05-15
sh.600583,海油工程,2002-02-05
sh.600584,长电科技,2003-06-03
sh.600585,海螺水泥,2002-02-07
sh.600586,金晶科技,2002-08-15
sh.600587,新华医疗,2002-09-27
sh.600588,用友网络,2001-05-18
sh.600590,泰豪科技,2002-07-03
sh.600592,龙溪股份,2002-08-05
sh.600594,益佰制药,2004-03-23
sh.600596,新安股份,2001-09-06
sh.600597,光明乳业,2002-08-28
sh.600598,北大荒,2002-03-29
sh.600600,青岛啤酒,1993-08-27
sh.600602,云赛智联,1990-12-19
sh.600603,广汇物流,1992-01-13
sh.600604,市北高新,1992-03-27
sh.600605,汇通能源,1992-03-27
sh.600606,绿地控股,1992-03-27
sh.600609,金杯汽车,1992-07-24
sh.600610,中毅达,1992-08-05
sh.600611,大众交通,1992-08-07
sh.600612,老凤祥,1992-08-14
sh.600613,神奇制药,1992-08-20
sh.600616,金枫酒业,1992-09-29
sh.600617,国新能源,1992-10-13
sh.600618,氯碱化工,1992-11-13
sh.600619,海立股份,1992-11-16
sh.600620,天宸股份,1992-11-17
sh.600621,华鑫股份,1992-12-02
sh.600622,光大嘉宝,1992-12-03
sh.600623,华谊集团,1992-12-04
sh.600624,复旦复华,1993-01-05
sh.600626,申达股份,1993-01-07
sh.600628,新世界,1993-01-19
sh.600629,华建集团,1993-02-09
sh.600630,龙头股份,1993-02-09
sh.600633,浙数文化,1993-03-04
sh.600635,大众公用,1993-03-04
sh.600636,国新文化,1993-03-16
sh.600637,东方明珠,1993-03-16
sh.600638,新黄浦,1993-03-26
sh.600639,浦东金桥,1993-03-26
sh.600640,新国脉,1993-04-07
sh.600641,万业企业,1993-04-07
sh.600642,申能股份,1993-04-16
sh.600643,爱建集团,1993-04-26
sh.600644,乐山电力,1993-04-26
sh.600645,中源协和,1993-05-04
sh.600647,同达创业,1993-05-04
sh.600648,外高桥,1993-05-04
sh.600649,城投控股,1993-05-18
sh.600650,锦江在线,1993-06-07
sh.600651,飞乐音响,1990-12-19
sh.600653,申华控股,1990-12-19
sh.600655,豫园股份,1992-09-02
sh.600657,信达地产,1993-05-24
sh.600658,电子城,1993-05-24
sh.600660,福耀玻璃,1993-06-10
sh.600661,昂立教育,1993-06-14
sh.600662,外服控股,1993-06-14
sh.600663,陆家嘴,1993-06-28
sh.600664,哈药股份,1993-06-29
sh.600665,天地源,1993-07-09
sh.600667,太极实业,1993-07-28
sh.600668,尖峰集团,1993-07-28
sh.600673,东阳光,1993-09-17
sh.600674,川投能源,1993-09-24
sh.600675,中华企业,1993-09-24
sh.600676,交运股份,1993-09-28
sh.600678,四川金顶,1993-10-08
sh.600679,上海凤凰,1993-10-08
sh.600681,百川能源,1993-10-18
sh.600682,南京新百,1993-10-18
sh.600683,京投发展,1993-10-25
sh.600684,珠江股份,1993-10-28
sh.600685,中船防务,1993-10-28
sh.600686,金龙汽车,1993-11-08
sh.600688,上海石化,1993-11-08
sh.600689,上海三毛,1993-11-08
sh.600690,海尔智家,1993-11-19
sh.600691,阳煤化工,1993-11-19
sh.600692,亚通股份,1993-11-19
sh.600693,东百集团,1993-11-22
sh.600694,大商股份,1993-11-22
sh.600696,岩石股份,1993-12-06
sh.600697,欧亚集团,1993-12-06
sh.600698,湖南天雁,1993-12-06
sh.600699,均胜电子,1993-12-06
sh.600702,舍得酒业,1996-05-24
sh.600703,三安光电,1996-05-28
sh.600704,物产中大,1996-06-06
sh.600705,中航产融,1996-05-16
sh.600706,曲江文旅,1996-05-16
sh.600707,彩虹股份,1996-05-20
sh.600708,光明地产,1996-06-06
sh.600710,苏美达,1996-07-01
sh.600711,盛屯矿业,1996-05-31
sh.600712,南宁百货,1996-06-26
sh.600713,南京医药,1996-07-01
sh.600714,金瑞矿业,1996-06-06
sh.600715,文投控股,1996-07-01
sh.600716,凤凰股份,1996-07-02
sh.600717,天津港,1996-06-14
sh.600718,东软集团,1996-06-18
sh.600719,大连热电,1996-07-16
sh.600720,祁连山,1996-07-16
sh.600722,金牛化工,1996-06-26
sh.600724,宁波富达,1996-07-16
sh.600725,云维股份,1996-07-02
sh.600726,华电能源,1996-07-01
sh.600727,鲁北化工,1996-07-02
sh.600728,佳都科技,1996-07-16
sh.600729,重庆百货,1996-07-02
sh.600730,中国高科,1996-07-26
sh.600731,湖南海利,1996-08-02
sh.600732,爱旭股份,1996-08-16
sh.600733,北汽蓝谷,1996-08-16
sh.600735,新华锦,1996-07-26
sh.600736,苏州高新,1996-08-15
sh.600737,中粮糖业,1996-07-31
sh.600738,丽尚国潮,1996-08-02
sh.600739,辽宁成大,1996-08-19
sh.600740,山西焦化,1996-08-08
sh.600741,华域汽车,1996-08-26
sh.600742,一汽富维,1996-08-26
sh.600743,华远地产,1996-09-09
sh.600744,华银电力,1996-09-05
sh.600745,闻泰科技,1996-08-28
sh.600746,江苏索普,1996-09-18
sh.600748,上实发展,1996-09-25
sh.600749,西藏旅游,1996-10-15
sh.600750,江中药业,1996-09-23
sh.600751,海航科技,1996-09-09
sh.600753,东方银星,1996-09-27
sh.600754,锦江酒店,1996-10-11
sh.600755,厦门国贸,1996-10-03
sh.600756,浪潮软件,1996-09-23
sh.600757,长江传媒,1996-10-03
sh.600758,辽宁能源,1996-10-29
sh.600759,洲际油气,1996-10-08
sh.600760,中航沈飞,1996-10-11
sh.600761,安徽合力,1996-10-09
sh.600763,通策医疗,1996-10-30
sh.600764,中国海防,1996-11-04
sh.600765,中航重机,1996-11-06
sh.600767,运盛医疗,1996-11-15
sh.600768,宁波富邦,1996-11-11
sh.600769,祥龙电业,1996-11-01
sh.600770,综艺股份,1996-11-20
sh.600771,广誉远,1996-11-05
sh.600773,西藏城投,1996-11-08
sh.600774,汉商集团,1996-11-08
sh.600775,南京熊猫,1996-11-18
sh.600776,东方通信,1996-11-26
sh.600777,新潮能源,1996-11-21
sh.600778,友好集团,1996-12-03
sh.600779,水井坊,1996-12-06
sh.600780,通宝能源,1996-12-05
sh.600782,新钢股份,1996-12-25
sh.600783,鲁信创投,1996-12-25
sh.600784,鲁银投资,1996-12-25
sh.600785,新华百货,1997-01-08
sh.600787,中储股份,1997-01-21
sh.600789,鲁抗医药,1997-02-26
sh.600790,轻纺城,1997-02-28
sh.600791,京能置业,1997-01-30
sh.600792,云煤能源,1997-01-23
sh.600793,宜宾纸业,1997-02-20
sh.600794,保税科技,1997-03-06
sh.600795,国电电力,1997-03-18
sh.600796,钱江生化,1997-04-08
sh.600797,浙大网新,1997-04-18
sh.600798,宁波海运,1997-04-23
sh.600800,渤海化学,1993-12-06
sh.600801,华新水泥,1994-01-03
sh.600802,福建水泥,1994-01-03
sh.600803,新奥股份,1994-01-03
sh.600804,鹏博士,1994-01-03
sh.600805,悦达投资,1994-01-03
sh.600807,济南高新,1994-01-03
sh.600808,马钢股份,1994-01-06
sh.600809,山西汾酒,1994-01-06
sh.600810,神马股份,1994-01-06
sh.600811,东方集团,1994-01-06
sh.600812,华北制药,1994-01-14
sh.600814,杭州解百,1994-01-14
sh.600815,厦工股份,1994-01-28
sh.600817,宇通重工,1994-01-28
sh.600818,中路股份,1994-01-28
sh.600819,耀皮玻璃,1994-01-28
sh.600820,隧道股份,1994-01-28
sh.600821,金开新能,1994-01-28
sh.600822,上海物贸,1994-02-04
sh.600823,世茂股份,1994-02-04
sh.600824,益民集团,1994-02-04
sh.600825,新华传媒,1994-02-04
sh.600826,兰生股份,1994-02-04
sh.600827,百联股份,1994-02-04
sh.600828,茂业商业,1994-02-24
sh.600829,人民同泰,1994-02-24
sh.600830,香溢融通,1994-02-24
sh.600831,广电网络,1994-02-24
sh.600833,第一医药,1994-02-24
sh.600834,申通地铁,1994-02-24
sh.600835,上海机电,1994-02-24
sh.600836,上海易连,1994-02-24
sh.600837,海通证券,1994-02-24
sh.600838,上海九百,1994-02-24
sh.600839,四川长虹,1994-03-11
sh.600841,上柴股份,1994-03-11
sh.600843,上工申贝,1994-03-11
sh.600844,丹化科技,1994-03-11
sh.600845,宝信软件,1994-03-11
sh.600846,同济科技,1994-03-11
sh.600847,万里股份,1994-03-24
sh.600848,上海临港,1994-03-24
sh.600850,电科数字,1994-03-24
sh.600851,海欣股份,1994-04-04
sh.600853,龙建股份,1994-04-04
sh.600854,春兰股份,1994-04-25
sh.600855,航天长峰,1994-04-25
sh.600857,宁波中百,1994-04-25
sh.600858,银座股份,1994-05-06
sh.600859,王府井,1994-05-06
sh.600860,京城股份,1994-05-06
sh.600861,北京城乡,1994-05-20
sh.600862,中航高科,1994-05-20
sh.600863,内蒙华电,1994-05-20
sh.600864,哈投股份,1994-08-09
sh.600865,百大集团,1994-08-09
sh.600866,星湖科技,1994-08-18
sh.600867,通化东宝,1994-08-24
sh.600868,梅雁吉祥,1994-09-12
sh.600869,远东股份,1995-02-06
sh.600871,石化油服,1995-04-11
sh.600872,中炬高新,1995-01-24
sh.600873,梅花生物,1995-02-17
sh.600874,创业环保,1995-06-30
sh.600875,东方电气,1995-10-10
sh.600876,洛阳玻璃,1995-10-31
sh.600877,声光电科,1995-10-13
sh.600879,航天电子,1995-11-15
sh.600880,博瑞传播,1995-11-15
sh.600881,亚泰集团,1995-11-15
sh.600882,妙可蓝多,1995-12-06
sh.600883,博闻科技,1995-12-08
sh.600884,杉杉股份,1996-01-30
sh.600885,宏发股份,1996-02-05
sh.600886,国投电力,1996-01-18
sh.600887,伊利股份,1996-03-12
sh.600888,新疆众和,1996-02-15
sh.600889,南京化纤,1996-03-08
sh.600892,大晟文化,1996-03-15
sh.600893,航发动力,1996-04-08
sh.600894,广日股份,1996-03-28
sh.600895,张江高科,1996-04-22
sh.600897,厦门空港,1996-05-31
sh.600900,长江电力,2003-11-18
sh.600901,江苏租赁,2018-03-01
sh.600903,贵州燃气,2017-11-07
sh.600905,三峡能源,2021-06-10
sh.600906,财达证券,2021-05-07
sh.600908,无锡银行,2016-09-23
sh.600909,华安证券,2016-12-06
sh.600916,中国黄金,2021-02-05
sh.600917,重庆燃气,2014-09-30
sh.600918,中泰证券,2020-06-03
sh.600919,江苏银行,2016-08-02
sh.600926,杭州银行,2016-10-27
sh.600928,西安银行,2019-03-01
sh.600929,雪天盐业,2018-03-26
sh.600933,爱柯迪,2017-11-17
sh.600936,广西广电,2016-08-15
sh.600939,重庆建工,2017-02-21
sh.600955,维远股份,2021-09-15
sh.600956,新天绿能,2020-06-29
sh.600958,东方证券,2015-03-23
sh.600959,江苏有线,2015-04-28
sh.600960,渤海汽车,2004-04-07
sh.600961,株冶集团,2004-08-30
sh.600962,国投中鲁,2004-06-22
sh.600963,岳阳林纸,2004-05-25
sh.600965,福成股份,2004-07-13
sh.600966,博汇纸业,2004-06-08
sh.600967,内蒙一机,2004-05-18
sh.600968,海油发展,2019-06-26
sh.600969,郴电国际,2004-04-08
sh.600970,中材国际,2005-04-12
sh.600971,恒源煤电,2004-08-17
sh.600973,宝胜股份,2004-08-02
sh.600975,新五丰,2004-06-09
sh.600976,健民集团,2004-04-19
sh.600977,中国电影,2016-08-09
sh.600979,广安爱众,2004-09-06
sh.600980,北矿科技,2004-05-12
sh.600981,汇鸿集团,2004-06-30
sh.600982,宁波能源,2004-07-06
sh.600983,惠而浦,2004-07-27
sh.600984,建设机械,2004-07-07
sh.600985,淮北矿业,2004-04-28
sh.600986,浙文互联,2004-04-26
